uii,name,type
12152,ACADEMIA DE TECHNOLOGIA IN MINDANAO,Private
12120,ACLC COLLEGE OF MARBEL,Private
12113,ACLC COLLEGE-GENERAL SANTOS CITY,Private
12104,"ADVENTIST COLLEGE OF TECHNOLOGY, INCORPORATED",Private
12098,AMA COMPUTER COLLEGE-COTABATO CITY,Private
11119,AMA COMPUTER COLLEGE-GENERAL SANTOS CITY,Private
12097,"ANTONIO R. PACHECO COLLEGE, INC.",Private
12117,"ASIAN COLLEGES AND TECHNOLOGICAL INSTITUTE, INC",Private
12130,"B.E.S.T. COLLEGE OF POLOMOLOK, INC.",Private
12112,"BROKENSHIRE COLLEGE SOCSKSARGEN, INC.",Private
12002,CENTRAL MINDANAO COLLEGES,Private
12093,"CENTRAL MINDANAO COMPUTER SCHOOL., INC.",Private
12125,"COLAND SYSTEMS TECHNOLOGY, INC.",Private
12045,COLEGIO DE KIDAPAWAN,Private
12008,COTABATO FOUNDATION COLLEGE OF SCIENCE AND TECHNOLOGY,SUC
12008d,COTABATO FOUNDATION COLLEGE OF SCIENCE AND TECHNOLOGY - PIKIT,SUC
12008a,COTABATO FOUNDATION COLLEGE OF SCIENCE AND TECHNOLOGY-ARAKAN CAMPUS,SUC
12008c,COTABATO FOUNDATION COLLEGE OF SCIENCE AND TECHNOLOGY-KATIPUNAN CAMPUS,SUC
12010,"COTABATO MEDICAL FOUNDATION COLLEGE, INCORPORATED",Private
12006,COTABATO STATE UNIVERSITY,SUC
12140,"CRONASIA FOUNDATION COLLEGE, INC.",Private
12011,"DE LA VIDA COLLEGE, INC.",Private
12012,"DR. DOMINGO B. TAMONDONG MEMORIAL HOSPITAL & COLLEGE FOUNDATION, INC.",Private
12013,"DR. P. OCAMPO COLLEGES, INC.",Private
11024,"EDENTON MISSION COLLEGE, INC.",Private
12166,ENVIROGREEN SCHOOL OF TECHNOLOGY,Private
12150,FILIPINO CANADIAN COMMUNITY COLLEGE FOUNDATION INCORPORATED,Private
12132,"GENERAL SANTOS ACADEMY, INCORPORATED",Private
12108,"GENERAL SANTOS DOCTORS' MEDICAL SCHOOL FOUNDATION, INC.",Private
12144,"GENSAN COLLEGE OF TECHNOLOGY, INC.",Private
11029,"GENSANTOS FOUNDATION COLLEGE, INC.",Private
12153,GLAN INSTITUTE OF TECHNOLOGY,LUC
12105,GOLDENSTATE COLLEGE,Private
12157,"GOLDENSTATE COLLEGE OF KIAMBA, INC.",Private
12126,"GOLDENSTATE COLLEGE OF KORONADAL CITY, INC.",Private
12158,"GOLDENSTATE COLLEGE OF MAASIM, INC.",Private
12159,"GOLDENSTATE COLLEGE OF MALUNGON, INC.",Private
12141,GREEN VALLEY COLLEGE FOUNDATION - ISULAN CAMPUS,Private
11113,"GREEN VALLEY COLLEGE FOUNDATION, INC.",Private
12016,"HEADSTART COLLEGE OF COTABATO, INC.",Private
12114,"HOLY CHILD CENTRAL COLLEGES, INC.",Private
11036,HOLY TRINITY COLLEGE OF GENERAL SANTOS CITY,Private
12124,I-LINK COLLEGE OF SCIENCE AND TECHNOLOGY INC.,Private
12128,INTERNATIONAL CRUISE SHIP COLLEGE,Private
12154,"JAMMAT COTABATO AND INSTITUTE OF TECHNOLOGY, INCORPORATED",Private
12136,JOJI ILAGAN INTERNATIONAL SCHOOL OF HOTEL AND TOURISM MANAGEMENT,Private
12142,"KIDAPAWAN DOCTORS COLLEGE, INCORPORATED",Private
12163,"KING SOLOMON INSTITUTE, INC.",Private
12025,KING'S COLLEGE OF ISULAN,Private
11038,"KING'S COLLEGE OF MARBEL, INC.",Private
12121,"KORBEL FOUNDATION COLLEGE, INC.",Private
12143,KULAMAN ACADEMY INC.,Private
12107,"KUTAWATO DARUSSALAM COLLEGE, INC.",Private
